Date,length_mm,ID_heathtray,ID_resp_vial,Resp_Trial
20190116,7.8232,H2_T,A1,1
20190116,7.9756,H3_B,A3,1
20190116,7.5184,H2_T,A4,1
20190116,7.62,H0_B,A5,1
20190116,8.8392,H1_T,A6,1
20190116,8.3312,H0_B,B1,1
20190116,6.985,H1_T,B2,1
20190116,8.3058,H3_B,B4,1
20190116,8.5344,H2_T,B5,1
20190116,7.8232,H1_T,C1,1
20190116,7.9502,H3_B,C2,1
20190116,8.3058,H3_B,C3,1
20190116,9.017,H0_B,C4,1
20190116,8.382,H0_B,C5,1
20190116,9.271,H1_T,C6,1
20190116,7.4168,H1_T,D1,1
20190116,7.9756,H2_T,D2,1
20190116,7.7978,H0_B,D3,1
20190116,6.8834,H2_T,D4,1
20190116,8.001,H3_B,D6,1
20190116,8.001,H2_B,A1,2
20190116,8.5344,H1_B,A2,2
20190116,9.271,H3_T,A3,2
20190116,8.6868,H1_B,A4,2
20190116,7.8994,H0_T,A6,2
20190116,8.1534,H0_T,B1,2
20190116,8.1026,H2_B,B3,2
20190116,7.7724,H2_B,B5,2
20190116,8.9154,H3_T,B6,2
20190116,7.7724,H1_B,C1,2
20190116,9.4996,H3_T,C2,2
20190116,7.6708,H2_B,C3,2
20190116,9.0424,H1_B,C4,2
20190116,8.5344,H3_T,C5,2
20190116,7.5692,H1_B,C6,2
20190116,8.9916,H0_T,D1,2
20190116,8.8646,H3_T,D2,2
20190116,7.5692,H0_T,D3,2
20190116,8.9662,H0_T,D5,2
20190116,7.747,H2_B,D6,2
