Date,RUN,SDR_position,Lpc,Leq,Lz,alpha
20190116,1,A1,-3.422362625,-3.539948052,-3.539948052,0.4
20190116,1,B1,-2.577743006,-2.577743006,-2.577743006,0.4
20190116,1,C1,-0.973341482,-0.800369231,-0.800369231,0.4
20190116,1,D1,-2.138352638,-2.195241935,-2.221532567,0.4
20190116,1,A2,-1.282342342,-1.337859829,-1.307376623,0.4
20190116,1,B2,-1.340886833,-1.432919355,-1.321383399,0.4
20190116,1,C2,-1.558551566,-1.483993162,-1.483993162,0.4
20190116,1,D2,-2.562863917,-2.227114625,-2.227114625,0.4
20190116,1,A3,-2.195287449,-1.3872,-1.3872,0.4
20190116,1,B3,-0.810924067,-0.773180077,-0.773180077,0.4
20190116,1,C3,-1.734138837,-1.762206264,-1.762206264,0.4
20190116,1,D3,-1.8746642,-2.120941176,-2.120941176,0.4
20190116,1,A4,-2.318547842,-2.536779221,-2.536779221,0.4
20190116,1,B4,-2.627193347,-2.816547009,-2.816547009,0.4
20190116,1,C4,-0.796900901,-0.749207028,-0.806646154,0.4
20190116,1,D4,-1.69073543,-1.692214503,-1.398622247,0.4
20190116,1,A5,-2.420916949,-2.588758065,-2.588758065,0.4
20190116,1,B5,-3.108462567,-1.682725745,-0.554025974,0.4
20190116,1,C5,0.245234522,0.213135985,0.058077922,0.4
20190116,1,D5,-1.218442183,-1.02299266,-1.02299266,0.4
20190116,1,A6,-2.365591568,-2.609416785,-2.860831169,0.4
20190116,1,B6,-1.255425891,-0.738656899,-0.702307692,0.4
20190116,1,C6,-2.098935441,-2.098935441,-2.098935441,0.4
20190116,1,D6,-3.364307692,-3.680360902,-3.680360902,0.4
20190116,2,A1,-3.970931174,-4.177278374,-3.433864662,0.4
20190116,2,B1,-2.068040486,-2.230541872,-2.230541872,0.4
20190116,2,C1,-2.132829268,-2.27265641,-2.27265641,0.4
20190116,2,D1,-2.969694151,-2.999420115,-3.760691729,0.4
20190116,2,A2,-2.1780844,-2.1780844,-2.048662021,0.4
20190116,2,B2,-1.651975709,-2.089124788,-2.089124788,0.4
20190116,2,C2,-1.356504348,-4.255494071,-4.978195489,0.4
20190116,2,D2,-2.816739496,-2.103540904,-3.556431395,0.4
20190116,2,A3,-3.626992012,-3.736519481,-3.736519481,0.4
20190116,2,B3,-3.872326218,-3.516532258,-3.516532258,0.4
20190116,2,C3,-2.271894598,-2.230989547,-2.230989547,0.4
20190116,2,D3,-3.962735043,-3.962735043,-3.962735043,0.4
20190116,2,A4,-2.443854251,-1.802215385,-1.802215385,0.4
20190116,2,B4,-1.370898785,-1.204765669,-1.626696781,0.4
20190116,2,C4,-0.671264822,-4.859525692,-4.859525692,0.4
20190116,2,D4,-2.0584,-2.137272727,-1.97675188,0.4
20190116,2,A5,-2.446465894,-2.438972332,-2.438972332,0.4
20190116,2,B5,-3.731243821,-4.317628458,-4.317628458,0.4
20190116,2,C5,-4.235097744,-2.906753247,-2.906753247,0.4
20190116,2,D5,-3.074926829,-3.074926829,-3.149449393,0.4
20190116,2,A6,-3.054383526,-3.054383526,-3.342902315,0.4
20190116,2,B6,-2.493693694,-2.493693694,-2.493693694,0.4
20190116,2,C6,-2.228547009,-2.093408696,-2.093408696,0.4
20190116,2,D6,-2.822942918,-2.696156863,-2.696156863,0.4
